id_empleado;edad;genero;departamento;antiguedad_empresa;nivel_educativo;sector;frecuencia_uso_ia;herramienta_principal;prefiere_humano_vs_ia;AT1_rendimiento;AT2_facilita_aprendizaje;AT3_facilidad_uso;AT4_integracion_positiva;AE1_resolver_problemas;AE2_confianza_digital;AE3_uso_eficaz;AE4_seguridad_aplicacion;M1_estimulante;M2_aumenta_interes;M3_aporta_valor;M4_mayor_esfuerzo;E1_adaptacion;E2_feedback_util;E3_aplicable_trabajo;E4_aprendizaje_ritmo;D1_mejora_competencias;D2_preparado_retos;D3_amplia_habilidades;D4_aprendizaje_autonomo;C1_confio_sin_verificar;C2_dificil_sin_ia;C3_pensamiento_critico;C4_reflexiono_calidad;open_positive_experience;open_difficulties_and_training_needs;usa_chatgpt;usa_gemini;usa_copilot;usa_lms_ia;usa_otra_ia;survey_completed_at
75;35;Mujer;Recursos Humanos;6;Doctorado;Consultoría;5;Copilot;7;6;6;7;7;6;6;7;7;6;6;7;7;6;7;7;7;5;6;6;6;6;6;5;5;Me permite aprender a mi ritmo y repetir lo que no entiendo.;Puede generar dependencia si se usa en exceso;False;True;True;False;False;2026-04-15T09:01:14
76;39;Hombre;Operaciones / Producción;6;Doctorado;Comercio / Retail;4;Copilot;7;4;4;4;4;7;5;6;6;6;7;6;6;7;6;6;6;7;6;6;6;5;6;6;6;Me ayuda a resolver dudas rápidas sin depender siempre de otra persona.;A veces la información no es completamente precisa.;False;True;True;False;False;2026-04-15T09:01:15
77;34;Mujer;Formación y Desarrollo;6;Doctorado;Educación;5;Copilot;6;6;5;6;6;6;5;5;5;6;6;5;5;6;6;5;5;7;5;5;5;4;4;5;4;Hace el aprendizaje más accesible desde cualquier lugar.;Puede reducir el pensamiento crítico si no se cuestiona lo que dice.;False;True;True;True;False;2026-04-15T09:01:16
78;45;Hombre;Formación y Desarrollo;6;Grado;Consultoría;4;Otra;7;6;7;6;6;7;6;6;6;6;7;7;7;6;5;7;7;6;5;6;6;7;6;6;6;Me ofrece ejemplos prácticos que facilitan entender conceptos complejos.;Existe el riesgo de confiar demasiado sin verificar fuentes.;True;False;False;True;True;2026-04-15T09:01:17
79;43;Mujer;Comercial / Ventas / Marketing;6;Grado;Servicios;5;Copilot;6;7;7;4;6;6;6;3;6;6;6;6;6;4;3;6;6;6;3;6;6;6;6;6;6;Que va a mi ritmo de necesidad ;Dependencia ;True;True;True;False;False;2026-04-15T09:01:18
80;39;Mujer;Profesional independiente / Freelance;6;Máster;Comercio / Retail;5;Copilot;6;4;5;4;4;6;6;7;6;6;5;6;7;5;5;6;6;5;5;6;6;6;6;5;5;Puefo utilizar para mi trabajo! ;Dependencia! ;True;True;True;True;False;2026-04-15T09:01:19
81;44;Mujer;Recursos Humanos;6;Máster;Sanidad;5;Copilot;6;6;5;5;3;6;6;5;5;4;6;6;5;6;6;5;5;5;6;5;6;5;6;6;6;Ayuda a crear formación adaptadas a los necesidades.;Dependia ;True;True;True;True;True;2026-04-15T09:01:20
82;37;Hombre;Dirección / Gestión;6;Doctorado;Servicios;5;Copilot;6;5;3;3;6;6;6;5;6;6;6;5;5;6;6;6;6;5;5;6;6;7;6;7;6;Ayuda a entender conceptos de forma más simple.;A veces inventa referencias. ;True;True;True;True;False;2026-04-15T09:01:21
83;56;Hombre;Dirección / Gestión;6;Doctorado;Administración pública;5;Copilot;6;6;5;6;6;6;5;5;6;6;6;5;6;6;6;5;7;7;6;6;7;7;6;7;6;Formación adaptada a mi necesidad ;Limitación en el momento de entender concepto!;True;True;True;True;False;2026-04-15T09:01:22
84;32;Hombre;Dirección / Gestión;6;Grado;Sanidad;5;LMS con IA;6;6;6;7;5;6;6;6;7;6;7;7;5;7;6;7;6;7;6;7;6;5;6;7;7;Apoyo en formación y trabajo;No cita a veces bien ;False;True;True;True;True;2026-04-15T09:01:23
85;55;Hombre;Consultoría;6;Doctorado;Administración pública;5;LMS con IA;6;6;4;3;4;5;6;6;6;5;6;5;7;5;5;6;5;6;7;6;6;5;6;6;7;Comprender conceptos difíciles, de manera fácil!;Crea alucinaciones la IA con conceptos! ;False;False;False;True;False;2026-04-15T09:01:24
86;21;Mujer;Formación y Desarrollo;2;Máster;Consultoría;5;Copilot;6;6;5;5;5;5;6;6;6;6;6;6;5;5;5;5;6;7;6;6;6;5;7;5;7;Ayuda a entender conceptos ;A veces sus respuestas no son lógicas! ;True;True;True;True;False;2026-04-15T09:01:25
87;35;Hombre;Tecnología / IT;6;Doctorado;Servicios;5;LMS con IA;6;5;6;5;5;6;7;6;6;7;6;6;6;7;5;5;4;4;5;5;5;7;5;6;6;Me ayuda a organizar mejor mis ideas y tareas.;No siempre entiende bien el contexto de lo que se le pide.;True;True;True;True;False;2026-04-15T09:01:26
88;43;Hombre;Formación y Desarrollo;6;Doctorado;Comercio / Retail;5;Copilot;7;5;6;5;4;5;4;5;5;6;5;5;5;7;6;5;5;5;4;5;5;5;6;6;6;Facilita el acceso a información actualizada.;Puede dar respuestas genéricas poco profundas.;False;True;True;False;True;2026-04-15T09:01:27
89;24;Mujer;Formación y Desarrollo;2;Grado;Consultoría;5;Gemini;5;6;5;5;6;7;5;5;6;6;5;5;5;6;5;6;6;7;5;5;5;7;5;5;5;Es una herramienta muy versátil para diferentes áreas.;Puede crear una falsa sensación de dominio del tema.;True;True;False;False;False;2026-04-15T09:01:28
90;38;Hombre;Consultoría;6;Doctorado;Consultoría;4;ChatGPT;6;6;5;5;6;6;5;5;6;7;6;6;6;6;5;5;5;7;6;6;6;6;5;6;6;Me ayuda a resumir información extensa rápidamente.;Problemas de privacidad de los datos.;True;True;True;False;False;2026-04-15T09:01:29
91;54;Mujer;Comercial / Ventas / Marketing;6;Grado;Comercio / Retail;5;Copilot;7;5;6;5;4;4;3;3;4;4;5;4;4;6;5;4;4;6;5;6;6;5;6;5;5;Hace el aprendizaje más dinámico e interactivo.;No siempre cita fuentes fiables.;False;True;True;False;False;2026-04-15T09:01:30
92;54;Hombre;Tecnología / IT;6;Máster;Industria;5;Copilot;6;6;5;5;5;6;5;5;5;7;6;6;6;5;6;6;6;6;5;5;5;6;5;5;5;Es útil para preparar trabajos y presentaciones.;Puede sesgar la información según cómo esté entrenada.;True;True;True;True;False;2026-04-15T09:01:31
93;19;Hombre;Recursos Humanos;0;Grado;Consultoría;5;Otra;7;6;7;6;6;6;5;5;5;6;5;6;6;7;5;6;6;6;5;5;6;6;5;6;6;Me ayuda a estructurar mejor mis ideas.;Es fácil confiar en ella sin verificar.;False;True;True;True;True;2026-04-15T09:01:32
94;33;Hombre;Tecnología / IT;6;Doctorado;Educación;5;LMS con IA;6;5;4;4;4;5;4;5;5;5;6;6;6;6;5;5;6;6;5;5;5;6;6;5;6;Permite aprender de forma autónoma.;Puede limitar la creatividad si se usa en exceso.;False;False;True;True;False;2026-04-15T09:01:33
95;45;Mujer;Administración / Finanzas;6;Doctorado;Banca / Finanzas;5;Otra;7;6;6;6;6;5;6;6;5;6;5;6;6;6;5;6;6;6;5;5;5;6;6;5;5;Es una buena fuente de apoyo cuando no hay profesores disponibles.;No fomenta el esfuerzo personal en algunos casos.;False;False;True;True;True;2026-04-15T09:01:34
96;29;Mujer;Educación / Investigación;6;Doctorado;Educación;5;Copilot;7;6;5;6;6;6;5;6;6;6;6;6;5;6;5;5;6;6;5;5;5;6;5;6;6;Mejora la productividad en tareas académicas.;Puede generar dependencia tecnológica.;False;True;True;False;False;2026-04-15T09:01:35
97;34;Hombre;Tecnología / IT;6;Máster;Industria;5;LMS con IA;6;5;5;6;6;6;6;5;5;6;5;6;6;5;6;5;6;6;5;5;5;6;5;6;6;Facilita la comprensión de textos complejos.;No siempre responde con precisión en temas complejos.;False;False;True;True;False;2026-04-15T09:01:36
98;56;Hombre;Profesional independiente / Freelance;6;Doctorado;Servicios;5;Otra;7;5;6;6;6;6;5;6;6;6;5;6;6;6;5;5;5;6;5;6;6;6;5;5;5;Permite adaptar el ritmo de aprendizaje.;Puede dificultar el aprendizaje profundo.;False;False;False;True;True;2026-04-15T09:01:37
99;32;Hombre;Formación y Desarrollo;6;Máster;Consultoría;5;LMS con IA;6;5;6;6;5;6;5;6;6;5;6;6;5;5;6;6;6;6;5;6;6;5;6;6;5;Ayuda a detectar errores y mejorar trabajos.;A veces simplifica demasiado los contenidos.;False;True;True;True;False;2026-04-15T09:01:38
100;45;Hombre;Tecnología / IT;6;Doctorado;Industria;5;ChatGPT;7;5;4;3;3;5;4;4;4;5;4;4;4;4;5;5;5;4;5;5;5;5;4;5;5;Me permite explorar temas nuevos fácilmente.;Puede ser utilizada para hacer trampas en exámene;True;True;True;False;False;2026-04-15T09:01:39
